INFO:root:SPOT Version:  2.4.106
INFO:root:Generated log file: C:\_workspace\cloud\rtest\logs\spot\convert2wav_190611-154224.log
INFO:root:-------------------  Input Arguments  ------------------
INFO:root:audio_folder = c:\_projects\mib2plus-connected\dev\tts_regression\MNC_Tian-Tian\baseline\Audi_Azure_CVT
INFO:root:--------------------  Process Begins  ------------------
INFO:root:Reading Audio directory ...
INFO:root:Converting  autops_ud_test_mnc_tian-tian.pcm to autops_ud_test_mnc_tian-tian.wav
INFO:root:Converting  mnc2.pcm to mnc2.wav
INFO:root:Converting  mncbelowzero1.pcm to mncbelowzero1.wav
INFO:root:Converting  mncbelowzero2.pcm to mncbelowzero2.wav
INFO:root:Converting  mncdate.pcm to mncdate.wav
INFO:root:Converting  mncrmb.pcm to mncrmb.wav
INFO:root:Converting  mncslash.pcm to mncslash.wav
INFO:root:Converting  mnctravelregression1.pcm to mnctravelregression1.wav
INFO:root:Converting  mnctravelregression2.pcm to mnctravelregression2.wav
INFO:root:Converting  mnctravelregression3.pcm to mnctravelregression3.wav
INFO:root:Converting  mnctravelregression4.pcm to mnctravelregression4.wav
INFO:root:Converting  mnctravelregression5.pcm to mnctravelregression5.wav
INFO:root:Converting  mnctravelregression6.pcm to mnctravelregression6.wav
INFO:root:Converting  mnctravelregression7.pcm to mnctravelregression7.wav
INFO:root:Converting  mnctravelregression8.pcm to mnctravelregression8.wav
INFO:root:Converting  mncweatherregression1.pcm to mncweatherregression1.wav
INFO:root:Converting  mncweatherregression10.pcm to mncweatherregression10.wav
INFO:root:Converting  mncweatherregression100.pcm to mncweatherregression100.wav
INFO:root:Converting  mncweatherregression101.pcm to mncweatherregression101.wav
INFO:root:Converting  mncweatherregression102.pcm to mncweatherregression102.wav
INFO:root:Converting  mncweatherregression103.pcm to mncweatherregression103.wav
INFO:root:Converting  mncweatherregression104.pcm to mncweatherregression104.wav
INFO:root:Converting  mncweatherregression105.pcm to mncweatherregression105.wav
INFO:root:Converting  mncweatherregression106.pcm to mncweatherregression106.wav
INFO:root:Converting  mncweatherregression107.pcm to mncweatherregression107.wav
INFO:root:Converting  mncweatherregression108.pcm to mncweatherregression108.wav
INFO:root:Converting  mncweatherregression109.pcm to mncweatherregression109.wav
INFO:root:Converting  mncweatherregression11.pcm to mncweatherregression11.wav
INFO:root:Converting  mncweatherregression110.pcm to mncweatherregression110.wav
INFO:root:Converting  mncweatherregression111.pcm to mncweatherregression111.wav
INFO:root:Converting  mncweatherregression112.pcm to mncweatherregression112.wav
INFO:root:Converting  mncweatherregression113.pcm to mncweatherregression113.wav
INFO:root:Converting  mncweatherregression114.pcm to mncweatherregression114.wav
INFO:root:Converting  mncweatherregression115.pcm to mncweatherregression115.wav
INFO:root:Converting  mncweatherregression116.pcm to mncweatherregression116.wav
INFO:root:Converting  mncweatherregression117.pcm to mncweatherregression117.wav
INFO:root:Converting  mncweatherregression118.pcm to mncweatherregression118.wav
INFO:root:Converting  mncweatherregression119.pcm to mncweatherregression119.wav
INFO:root:Converting  mncweatherregression12.pcm to mncweatherregression12.wav
INFO:root:Converting  mncweatherregression120.pcm to mncweatherregression120.wav
INFO:root:Converting  mncweatherregression121.pcm to mncweatherregression121.wav
INFO:root:Converting  mncweatherregression122.pcm to mncweatherregression122.wav
INFO:root:Converting  mncweatherregression123.pcm to mncweatherregression123.wav
INFO:root:Converting  mncweatherregression124.pcm to mncweatherregression124.wav
INFO:root:Converting  mncweatherregression125.pcm to mncweatherregression125.wav
INFO:root:Converting  mncweatherregression126.pcm to mncweatherregression126.wav
INFO:root:Converting  mncweatherregression127.pcm to mncweatherregression127.wav
INFO:root:Converting  mncweatherregression128.pcm to mncweatherregression128.wav
INFO:root:Converting  mncweatherregression129.pcm to mncweatherregression129.wav
INFO:root:Converting  mncweatherregression13.pcm to mncweatherregression13.wav
INFO:root:Converting  mncweatherregression130.pcm to mncweatherregression130.wav
INFO:root:Converting  mncweatherregression131.pcm to mncweatherregression131.wav
INFO:root:Converting  mncweatherregression132.pcm to mncweatherregression132.wav
INFO:root:Converting  mncweatherregression133.pcm to mncweatherregression133.wav
INFO:root:Converting  mncweatherregression134.pcm to mncweatherregression134.wav
INFO:root:Converting  mncweatherregression135.pcm to mncweatherregression135.wav
INFO:root:Converting  mncweatherregression136.pcm to mncweatherregression136.wav
INFO:root:Converting  mncweatherregression137.pcm to mncweatherregression137.wav
INFO:root:Converting  mncweatherregression138.pcm to mncweatherregression138.wav
INFO:root:Converting  mncweatherregression139.pcm to mncweatherregression139.wav
INFO:root:Converting  mncweatherregression14.pcm to mncweatherregression14.wav
INFO:root:Converting  mncweatherregression140.pcm to mncweatherregression140.wav
INFO:root:Converting  mncweatherregression141.pcm to mncweatherregression141.wav
INFO:root:Converting  mncweatherregression142.pcm to mncweatherregression142.wav
INFO:root:Converting  mncweatherregression143.pcm to mncweatherregression143.wav
INFO:root:Converting  mncweatherregression144.pcm to mncweatherregression144.wav
INFO:root:Converting  mncweatherregression145.pcm to mncweatherregression145.wav
INFO:root:Converting  mncweatherregression146.pcm to mncweatherregression146.wav
INFO:root:Converting  mncweatherregression147.pcm to mncweatherregression147.wav
INFO:root:Converting  mncweatherregression148.pcm to mncweatherregression148.wav
INFO:root:Converting  mncweatherregression149.pcm to mncweatherregression149.wav
INFO:root:Converting  mncweatherregression15.pcm to mncweatherregression15.wav
INFO:root:Converting  mncweatherregression150.pcm to mncweatherregression150.wav
INFO:root:Converting  mncweatherregression151.pcm to mncweatherregression151.wav
INFO:root:Converting  mncweatherregression152.pcm to mncweatherregression152.wav
INFO:root:Converting  mncweatherregression153.pcm to mncweatherregression153.wav
INFO:root:Converting  mncweatherregression154.pcm to mncweatherregression154.wav
INFO:root:Converting  mncweatherregression16.pcm to mncweatherregression16.wav
INFO:root:Converting  mncweatherregression17.pcm to mncweatherregression17.wav
INFO:root:Converting  mncweatherregression18.pcm to mncweatherregression18.wav
INFO:root:Converting  mncweatherregression19.pcm to mncweatherregression19.wav
INFO:root:Converting  mncweatherregression2.pcm to mncweatherregression2.wav
INFO:root:Converting  mncweatherregression20.pcm to mncweatherregression20.wav
INFO:root:Converting  mncweatherregression21.pcm to mncweatherregression21.wav
INFO:root:Converting  mncweatherregression22.pcm to mncweatherregression22.wav
INFO:root:Converting  mncweatherregression23.pcm to mncweatherregression23.wav
INFO:root:Converting  mncweatherregression24.pcm to mncweatherregression24.wav
INFO:root:Converting  mncweatherregression25.pcm to mncweatherregression25.wav
INFO:root:Converting  mncweatherregression26.pcm to mncweatherregression26.wav
INFO:root:Converting  mncweatherregression27.pcm to mncweatherregression27.wav
INFO:root:Converting  mncweatherregression28.pcm to mncweatherregression28.wav
INFO:root:Converting  mncweatherregression29.pcm to mncweatherregression29.wav
INFO:root:Converting  mncweatherregression3.pcm to mncweatherregression3.wav
INFO:root:Converting  mncweatherregression30.pcm to mncweatherregression30.wav
INFO:root:Converting  mncweatherregression31.pcm to mncweatherregression31.wav
INFO:root:Converting  mncweatherregression32.pcm to mncweatherregression32.wav
INFO:root:Converting  mncweatherregression33.pcm to mncweatherregression33.wav
INFO:root:Converting  mncweatherregression34.pcm to mncweatherregression34.wav
INFO:root:Converting  mncweatherregression35.pcm to mncweatherregression35.wav
INFO:root:Converting  mncweatherregression36.pcm to mncweatherregression36.wav
INFO:root:Converting  mncweatherregression37.pcm to mncweatherregression37.wav
INFO:root:Converting  mncweatherregression38.pcm to mncweatherregression38.wav
INFO:root:Converting  mncweatherregression39.pcm to mncweatherregression39.wav
INFO:root:Converting  mncweatherregression4.pcm to mncweatherregression4.wav
INFO:root:Converting  mncweatherregression40.pcm to mncweatherregression40.wav
INFO:root:Converting  mncweatherregression41.pcm to mncweatherregression41.wav
INFO:root:Converting  mncweatherregression42.pcm to mncweatherregression42.wav
INFO:root:Converting  mncweatherregression43.pcm to mncweatherregression43.wav
INFO:root:Converting  mncweatherregression44.pcm to mncweatherregression44.wav
INFO:root:Converting  mncweatherregression45.pcm to mncweatherregression45.wav
INFO:root:Converting  mncweatherregression46.pcm to mncweatherregression46.wav
INFO:root:Converting  mncweatherregression47.pcm to mncweatherregression47.wav
INFO:root:Converting  mncweatherregression48.pcm to mncweatherregression48.wav
INFO:root:Converting  mncweatherregression49.pcm to mncweatherregression49.wav
INFO:root:Converting  mncweatherregression5.pcm to mncweatherregression5.wav
INFO:root:Converting  mncweatherregression50.pcm to mncweatherregression50.wav
INFO:root:Converting  mncweatherregression51.pcm to mncweatherregression51.wav
INFO:root:Converting  mncweatherregression52.pcm to mncweatherregression52.wav
INFO:root:Converting  mncweatherregression53.pcm to mncweatherregression53.wav
INFO:root:Converting  mncweatherregression54.pcm to mncweatherregression54.wav
INFO:root:Converting  mncweatherregression55.pcm to mncweatherregression55.wav
INFO:root:Converting  mncweatherregression56.pcm to mncweatherregression56.wav
INFO:root:Converting  mncweatherregression57.pcm to mncweatherregression57.wav
INFO:root:Converting  mncweatherregression58.pcm to mncweatherregression58.wav
INFO:root:Converting  mncweatherregression59.pcm to mncweatherregression59.wav
INFO:root:Converting  mncweatherregression6.pcm to mncweatherregression6.wav
INFO:root:Converting  mncweatherregression60.pcm to mncweatherregression60.wav
INFO:root:Converting  mncweatherregression61.pcm to mncweatherregression61.wav
INFO:root:Converting  mncweatherregression62.pcm to mncweatherregression62.wav
INFO:root:Converting  mncweatherregression63.pcm to mncweatherregression63.wav
INFO:root:Converting  mncweatherregression64.pcm to mncweatherregression64.wav
INFO:root:Converting  mncweatherregression65.pcm to mncweatherregression65.wav
INFO:root:Converting  mncweatherregression66.pcm to mncweatherregression66.wav
INFO:root:Converting  mncweatherregression67.pcm to mncweatherregression67.wav
INFO:root:Converting  mncweatherregression68.pcm to mncweatherregression68.wav
INFO:root:Converting  mncweatherregression69.pcm to mncweatherregression69.wav
INFO:root:Converting  mncweatherregression7.pcm to mncweatherregression7.wav
INFO:root:Converting  mncweatherregression70.pcm to mncweatherregression70.wav
INFO:root:Converting  mncweatherregression71.pcm to mncweatherregression71.wav
INFO:root:Converting  mncweatherregression72.pcm to mncweatherregression72.wav
INFO:root:Converting  mncweatherregression73.pcm to mncweatherregression73.wav
INFO:root:Converting  mncweatherregression74.pcm to mncweatherregression74.wav
INFO:root:Converting  mncweatherregression75.pcm to mncweatherregression75.wav
INFO:root:Converting  mncweatherregression76.pcm to mncweatherregression76.wav
INFO:root:Converting  mncweatherregression77.pcm to mncweatherregression77.wav
INFO:root:Converting  mncweatherregression78.pcm to mncweatherregression78.wav
INFO:root:Converting  mncweatherregression79.pcm to mncweatherregression79.wav
INFO:root:Converting  mncweatherregression8.pcm to mncweatherregression8.wav
INFO:root:Converting  mncweatherregression80.pcm to mncweatherregression80.wav
INFO:root:Converting  mncweatherregression81.pcm to mncweatherregression81.wav
INFO:root:Converting  mncweatherregression82.pcm to mncweatherregression82.wav
INFO:root:Converting  mncweatherregression83.pcm to mncweatherregression83.wav
INFO:root:Converting  mncweatherregression84.pcm to mncweatherregression84.wav
INFO:root:Converting  mncweatherregression85.pcm to mncweatherregression85.wav
INFO:root:Converting  mncweatherregression86.pcm to mncweatherregression86.wav
INFO:root:Converting  mncweatherregression87.pcm to mncweatherregression87.wav
INFO:root:Converting  mncweatherregression88.pcm to mncweatherregression88.wav
INFO:root:Converting  mncweatherregression89.pcm to mncweatherregression89.wav
INFO:root:Converting  mncweatherregression9.pcm to mncweatherregression9.wav
INFO:root:Converting  mncweatherregression90.pcm to mncweatherregression90.wav
INFO:root:Converting  mncweatherregression91.pcm to mncweatherregression91.wav
INFO:root:Converting  mncweatherregression92.pcm to mncweatherregression92.wav
INFO:root:Converting  mncweatherregression93.pcm to mncweatherregression93.wav
INFO:root:Converting  mncweatherregression94.pcm to mncweatherregression94.wav
INFO:root:Converting  mncweatherregression95.pcm to mncweatherregression95.wav
INFO:root:Converting  mncweatherregression96.pcm to mncweatherregression96.wav
INFO:root:Converting  mncweatherregression97.pcm to mncweatherregression97.wav
INFO:root:Converting  mncweatherregression98.pcm to mncweatherregression98.wav
