INFO:root:SPOT Version:  2.4.106
INFO:root:Generated log file: C:\_workspace\cloud\rtest\logs\spot\convert2wav_190611-154210.log
INFO:root:-------------------  Input Arguments  ------------------
INFO:root:audio_folder = c:\_projects\mib2plus-connected\dev\tts_regression\ITI_Alice-ML\baseline\Audi_MTLDEV_Ext
INFO:root:--------------------  Process Begins  ------------------
INFO:root:Reading Audio directory ...
INFO:root:Converting  itinewsdict01_ref.pcm to itinewsdict01_ref.wav
INFO:root:Converting  itinewsdict02_ref.pcm to itinewsdict02_ref.wav
INFO:root:Converting  itinewsdict03_ref.pcm to itinewsdict03_ref.wav
INFO:root:Converting  ititravelregression101_ref.pcm to ititravelregression101_ref.wav
INFO:root:Converting  ititravelregression102_ref.pcm to ititravelregression102_ref.wav
INFO:root:Converting  ititravelregression103_ref.pcm to ititravelregression103_ref.wav
INFO:root:Converting  ititravelregression104_ref.pcm to ititravelregression104_ref.wav
INFO:root:Converting  ititravelregression105_ref.pcm to ititravelregression105_ref.wav
INFO:root:Converting  ititravelregression106_ref.pcm to ititravelregression106_ref.wav
INFO:root:Converting  ititravelregression107_ref.pcm to ititravelregression107_ref.wav
INFO:root:Converting  ititravelregression108_ref.pcm to ititravelregression108_ref.wav
INFO:root:Converting  ititravelregression109_ref.pcm to ititravelregression109_ref.wav
INFO:root:Converting  ititravelregression110_ref.pcm to ititravelregression110_ref.wav
INFO:root:Converting  ititravelregression111_ref.pcm to ititravelregression111_ref.wav
INFO:root:Converting  ititravelregression112_ref.pcm to ititravelregression112_ref.wav
INFO:root:Converting  ititravelregression113_ref.pcm to ititravelregression113_ref.wav
INFO:root:Converting  ititravelregression114_ref.pcm to ititravelregression114_ref.wav
INFO:root:Converting  ititravelregression115_ref.pcm to ititravelregression115_ref.wav
INFO:root:Converting  ititravelregression116_ref.pcm to ititravelregression116_ref.wav
INFO:root:Converting  ititravelregression117_ref.pcm to ititravelregression117_ref.wav
INFO:root:Converting  ititravelregression118_ref.pcm to ititravelregression118_ref.wav
INFO:root:Converting  ititravelregression119_ref.pcm to ititravelregression119_ref.wav
INFO:root:Converting  ititravelregression120_ref.pcm to ititravelregression120_ref.wav
INFO:root:Converting  ititravelregression121_ref.pcm to ititravelregression121_ref.wav
INFO:root:Converting  ititravelregression122_ref.pcm to ititravelregression122_ref.wav
INFO:root:Converting  ititravelregression123_ref.pcm to ititravelregression123_ref.wav
INFO:root:Converting  ititravelregression124_ref.pcm to ititravelregression124_ref.wav
INFO:root:Converting  ititravelregression125_ref.pcm to ititravelregression125_ref.wav
INFO:root:Converting  ititravelregression126_ref.pcm to ititravelregression126_ref.wav
INFO:root:Converting  ititravelregression127_ref.pcm to ititravelregression127_ref.wav
INFO:root:Converting  ititravelregression1_ref.pcm to ititravelregression1_ref.wav
INFO:root:Converting  ititravelregression2_ref.pcm to ititravelregression2_ref.wav
INFO:root:Converting  ititravelregression3_ref.pcm to ititravelregression3_ref.wav
INFO:root:Converting  ititravelregression4_ref.pcm to ititravelregression4_ref.wav
INFO:root:Converting  ititravelregression5_ref.pcm to ititravelregression5_ref.wav
INFO:root:Converting  ititravelregression6_ref.pcm to ititravelregression6_ref.wav
INFO:root:Converting  ititravelregression7_ref.pcm to ititravelregression7_ref.wav
INFO:root:Converting  ititravelregression8_ref.pcm to ititravelregression8_ref.wav
INFO:root:Converting  itiweatherregression_00001_ref.pcm to itiweatherregression_00001_ref.wav
INFO:root:Converting  itiweatherregression_00002_ref.pcm to itiweatherregression_00002_ref.wav
INFO:root:Converting  itiweatherregression_00003_ref.pcm to itiweatherregression_00003_ref.wav
INFO:root:Converting  itiweatherregression_00004_ref.pcm to itiweatherregression_00004_ref.wav
INFO:root:Converting  itiweatherregression_00005_ref.pcm to itiweatherregression_00005_ref.wav
INFO:root:Converting  itiweatherregression_00006_ref.pcm to itiweatherregression_00006_ref.wav
INFO:root:Converting  itiweatherregression_00007_ref.pcm to itiweatherregression_00007_ref.wav
INFO:root:Converting  itiweatherregression_00008_ref.pcm to itiweatherregression_00008_ref.wav
INFO:root:Converting  itiweatherregression_00009_ref.pcm to itiweatherregression_00009_ref.wav
INFO:root:Converting  itiweatherregression_00010_ref.pcm to itiweatherregression_00010_ref.wav
INFO:root:Converting  itiweatherregression_00011_ref.pcm to itiweatherregression_00011_ref.wav
INFO:root:Converting  itiweatherregression_00012_ref.pcm to itiweatherregression_00012_ref.wav
INFO:root:Converting  itiweatherregression_00013_ref.pcm to itiweatherregression_00013_ref.wav
INFO:root:Converting  itiweatherregression_00014_ref.pcm to itiweatherregression_00014_ref.wav
INFO:root:Converting  itiweatherregression_00015_ref.pcm to itiweatherregression_00015_ref.wav
INFO:root:Converting  itiweatherregression_00016_ref.pcm to itiweatherregression_00016_ref.wav
INFO:root:Converting  itiweatherregression_00017_ref.pcm to itiweatherregression_00017_ref.wav
INFO:root:Converting  itiweatherregression_00018_ref.pcm to itiweatherregression_00018_ref.wav
INFO:root:Converting  itiweatherregression_00019_ref.pcm to itiweatherregression_00019_ref.wav
INFO:root:Converting  itiweatherregression_00020_ref.pcm to itiweatherregression_00020_ref.wav
